,wijkcode,wijknaam,(%) wijk,jaar,verkiezing
0,WK026705,Hoevelaken,5.73,2021,TK
1,WK030701,Wijk 01 Stadskern,4.82,2021,TK
2,WK030702,Wijk 02 Zonnehof,4.55,2021,TK
3,WK030703,Wijk 03 Soesterkwartier,4.74,2021,TK
4,WK030704,Wijk 04 Isselt,5.32,2021,TK
5,WK030705,Wijk 05 Bosgebied,5.24,2021,TK
6,WK030706,Wijk 06 De Koppel,6.29,2021,TK
7,WK030707,Wijk 07 De Kruiskamp,7.3,2021,TK
8,WK030708,Wijk 08 Schothorst Zuid,8.4,2021,TK
9,WK034208,Wijk 08 Soesterberg,4.29,2021,TK
10,WK030709,Wijk 09 Schothorst Noord,7.46,2021,TK
11,WK030710,Wijk 10 Liendert,7.33,2021,TK
12,WK030711,Wijk 11 Rustenburg,6.6,2021,TK
13,WK030712,Wijk 12 Stoutenburg-Noord,6.59,2021,TK
14,WK030713,Wijk 13 Schuilenburg,7.01,2021,TK
15,WK030714,Wijk 14 Randenbroek,6.17,2021,TK
16,WK030715,Wijk 15 Vermeerkwartier,6.0,2021,TK
17,WK030716,Wijk 16 Leusderkwartier,5.24,2021,TK
18,WK030717,Wijk 17 De Berg Zuid,4.98,2021,TK
19,WK030718,Wijk 18 De Berg Noord,4.92,2021,TK
20,WK030719,Wijk 19 Hoogland,6.14,2021,TK
21,WK030720,Wijk 20 Zielhorst,6.52,2021,TK
22,WK030721,Wijk 21 Kattenbroek,6.5,2021,TK
23,WK030722,Wijk 22 Calveen,7.52,2021,TK
24,WK030723,Wijk 23 Park Schothorst,6.57,2021,TK
25,WK030724,Wijk 24 Nieuwland,6.4,2021,TK
26,WK030725,Wijk 25 valleipoort,7.48,2021,TK
27,WK030726,Wijk 26 Hooglanderveen,6.77,2021,TK
28,WK030727,Wijk 27 Buitengebied West,6.5,2021,TK
29,WK030728,Wijk 28 Vathorst-De Velden,6.27,2021,TK
30,WK030729,Wijk 29 Vathorst-centrum,7.22,2021,TK
31,WK030730,Wijk 30 Vathorst-De Bron,6.77,2021,TK
32,WK030731,Wijk 31 Vathorst-De Laak,7.74,2021,TK
